lith DTC LnM GR GR_silica GR_clay M2R2 M2R3 M2R6 M2R9 M2RX F ZDEN ZDENm CNCF CNCFm CNCF_clay TM TP TN PE SP Silica clay carbonate
4.00000 70.00000 0.89776 77.97200 1.62670 0.51345 4.14400 7.50800 13.54300 19.85600 25.23300 0.16423 2.70000 0.72973 30.28700 0.65615 1.07636 0.96343 0.87344 5.01716 2.36000 0.34780 39.69000 56.17000 4.13850
4.00000 70.00000 0.58590 119.47500 1.25883 0.76982 172.16900 86.96800 147.94900 328.34700 252.02900 0.68313 2.75000 0.89865 41.99500 0.95930 0.94115 0.95084 0.95329 4.57418 2.50000 0.33337 31.50590 63.76861 4.72550
4.00000 70.00000 0.62395 112.18900 1.32713 0.71698 1927.10100 306.61700 689.32800 1228.89700 1390.52400 1.38588 2.72000 0.79730 43.15800 0.98941 0.82521 0.95835 0.96209 4.56830 3.92000 0.73391 25.53649 74.46351 0.00000
7.00000 68.00000 0.81388 83.55000 1.58064 0.54217 54.58300 56.81900 62.84600 65.96400 67.10700 0.81337 2.60000 0.39189 22.35700 0.45082 0.94278 1.00612 0.84301 5.39775 NaN 0.63009 55.00000 40.00000 5.00000
3.00000 72.00000 0.66085 108.95100 1.35705 0.69468 20.47100 28.01600 44.30100 61.35200 75.66600 0.27054 2.68000 0.66216 37.15300 0.83392 0.84218 0.95156 0.90147 4.82097 2.89000 0.28068 34.21984 65.78016 0.00000
3.00000 79.05300 1.04460 75.67800 1.64529 0.50208 6.29200 10.89300 15.16000 17.39500 18.28600 0.34409 2.72000 0.79730 33.86600 0.74882 1.04968 0.87543 0.81342 4.87879 3.22000 0.21385 38.88000 61.12000 0.00000
3.00000 78.56000 0.57159 137.44000 1.08619 0.91733 13.16700 13.29600 13.56100 13.67400 13.79900 0.95420 2.64800 0.55405 25.63900 0.53580 1.01843 0.89895 0.76744 5.22988 1.93300 0.64552 40.00000 45.00000 15.00000
4.00000 77.87700 0.76360 101.98700 1.42043 0.64904 36.99800 57.22800 98.02200 156.50700 194.34300 0.19037 2.70000 0.72973 43.56700 1.00000 0.76317 0.89222 0.89402 4.57719 3.40000 0.71877 30.67887 66.82616 2.49497
4.00000 75.51400 0.74004 102.04000 1.41995 0.64938 51.90800 51.78500 53.19300 54.15000 54.61000 0.95052 2.48400 0.00000 14.10100 0.23705 0.78895 0.97385 0.73417 5.82730 1.76300 0.39299 82.00000 12.00000 6.00000
10.00000 75.43800 1.15102 65.54000 1.72497 0.45479 37.52900 37.63300 37.90000 38.33700 38.59800 0.97230 2.52800 0.14865 10.46600 0.14293 1.00574 0.96187 0.71688 5.85833 1.61900 0.20046 76.00000 17.00000 7.00000
