lith DT24/DTC GR M2R2 M2R3 M2R6 M2R9 M2RX ZDEN CNCF PE SP clay silica carbonate
7.00000 69.85700 88.88500 126.71800 130.91800 155.48800 168.91700 176.83800 2.60200 7.23700 1.05000 0.24758 6.40000 90.80000 2.80000
3.00000 69.73300 64.18000 145.20000 140.21400 159.65800 170.48700 174.51900 2.57500 8.49800 1.04000 0.27551 8.40000 89.50000 2.10000
3.00000 64.91500 112.14000 62.16900 63.74700 66.82100 68.64000 70.24800 2.67600 9.78700 2.40000 0.36817 5.00000 87.60000 7.40000
3.00000 63.77700 87.76200 67.33900 67.48200 68.28500 69.29000 69.98800 2.67500 9.48000 1.22000 0.40938 19.40000 79.80000 0.80000
3.00000 65.72400 79.64900 73.01600 73.36300 74.69400 76.13500 77.24300 2.59800 8.08400 1.60000 0.38779 8.20000 80.60000 11.20000
4.00000 62.09100 128.01600 129.19600 128.73400 130.57000 134.46200 136.51800 2.74800 22.46800 1.40000 0.29577 38.80000 46.00000 15.20000
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
7.00000 68.75500 48.51600 45.28600 49.13900 49.14100 50.86800 52.23000 2.50700 10.64500 1.45400 0.15136 18.60000 81.40000 NaN
7.00000 70.50100 55.04400 63.42100 71.05500 71.58400 75.37700 78.07000 2.50900 6.60900 1.65400 0.04224 9.10000 87.30000 3.60000
8.00000 70.69400 46.89600 26.68400 28.60800 29.46500 30.39800 32.49700 2.55700 12.36800 1.96700 0.57729 33.30000 62.80000 3.90000
8.00000 67.32600 73.48800 26.84500 28.76700 29.74300 30.68600 31.49400 2.56900 14.99000 1.32900 0.33747 30.10000 69.30000 0.60000
8.00000 69.36800 76.51900 17.36800 17.61000 17.73200 17.73900 17.80300 2.60000 12.72800 1.61200 0.62984 17.10000 56.50000 26.40000
7.00000 64.66400 78.79700 82.82000 98.12800 104.19400 113.97600 118.29800 2.61800 14.97600 2.22100 0.59875 42.40000 56.00000 1.60000
7.00000 65.69800 99.67500 44.24300 47.18700 47.19600 48.52100 49.63500 2.65700 14.97100 2.11900 0.81960 24.00000 76.00000 0.00000
7.00000 60.98200 76.65800 97.01900 95.48000 99.41100 104.97000 110.24300 2.68800 15.01700 3.07500 0.78689 22.20000 73.40000 4.40000
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.00000 79.05300 75.67800 6.29200 10.89300 15.16000 17.39500 18.28600 2.37900 33.86600 3.22000 0.21385 61.12000 38.88000 0.00000
3.00000 68.02000 140.55300 101.50600 90.13200 80.24600 76.47900 75.17500 2.64500 28.31200 3.88000 0.21427 94.43228 5.56772 0.00000
3.00000 84.43300 108.95100 20.47100 28.01600 44.30100 61.35200 75.66600 2.20300 37.15300 2.89000 0.28068 65.78016 34.21984 0.00000
3.00000 68.14400 157.05400 172.49800 157.02700 142.34500 134.81100 132.62800 2.62400 27.61900 3.07000 0.39917 47.00000 49.00000 4.00000
3.00000 66.82800 160.14600 136.65300 121.31500 107.10700 101.46100 99.72100 2.67800 25.71700 2.48000 0.37102 56.00000 39.00000 5.00000
10.00000 62.54000 77.29700 103.83500 92.29700 82.04500 78.35100 77.17700 2.57600 8.45000 1.80000 0.29295 17.80000 80.20000 2.00000
10.00000 65.68200 62.93600 84.50700 76.84600 69.66800 67.11200 66.28100 2.54800 7.46700 1.85000 0.26342 14.60000 84.30000 1.10000
10.00000 65.20300 66.02100 104.44500 88.40700 76.75000 72.84500 71.56500 2.57800 7.19700 1.82000 0.38391 15.30000 81.00000 3.70000
10.00000 64.06500 61.67700 118.16300 100.05300 86.47900 81.83800 80.42300 2.60100 8.42200 1.88000 0.22465 16.00000 76.70000 7.30000
10.00000 63.79400 57.63900 137.74600 116.92700 102.26400 96.78100 95.22100 2.58500 7.96900 1.78000 0.22425 17.60000 81.00000 1.40000
10.00000 64.38400 57.31500 100.61300 90.22300 83.27900 80.05100 79.17100 2.56000 8.25900 1.45000 0.22736 19.60000 78.90000 1.50000
10.00000 66.17800 62.35600 67.09300 61.80800 57.39200 55.63200 55.10300 2.56700 7.71700 1.02000 0.26095 17.80000 79.30000 2.90000
9.00000 60.69700 92.70100 193.63900 157.44100 135.00000 125.99000 123.22600 2.64800 9.56500 1.69000 0.56180 16.80000 78.70000 4.50000
9.00000 60.58500 90.89900 196.26000 159.46200 136.19400 126.95200 124.20400 2.63900 9.31800 1.88000 0.55652 21.50000 76.30000 2.20000
10.00000 65.31300 81.02600 172.79100 145.85000 141.99200 136.06400 134.15700 2.57200 17.63700 1.88000 0.37306 23.30000 76.70000 0.00000
10.00000 64.88700 79.02300 117.31100 100.98100 97.40600 93.30100 92.12100 2.59500 15.97000 2.22000 0.36613 27.30000 72.70000 0.00000
10.00000 65.35700 76.56700 131.63200 119.93700 113.23300 107.76800 106.26100 2.57600 15.70200 1.88000 0.41531 46.40000 52.60000 1.00000
10.00000 67.42900 58.93600 79.06400 75.74700 75.57700 74.99800 74.68600 2.51300 12.83100 1.40000 0.34815 13.30000 85.60000 1.10000
10.00000 64.58100 45.97400 59.74700 57.43800 56.06400 56.06400 56.06400 2.51300 10.73100 1.30000 0.30200 13.10000 86.40000 0.50000
3.00000 62.12200 130.45900 479.67600 384.66900 384.66600 366.44600 361.17900 2.73900 27.67300 2.60000 0.38837 62.30000 37.70000 0.00000
3.00000 69.16900 138.41900 375.15700 313.49500 312.30900 292.17500 287.83000 2.63200 32.02600 3.88000 0.44525 85.96398 11.96292 2.07310
4.00000 65.69600 129.82500 72.64600 67.58800 67.37000 67.37000 67.37000 2.35000 39.75100 2.80000 0.34985 58.43545 35.91321 5.65134
7.00000 62.79900 128.54100 261.00600 205.71900 180.40600 165.76300 161.60500 2.66800 21.90000 2.40000 0.40314 54.70000 44.90000 0.40000
7.00000 63.80100 130.50000 318.81100 328.82800 298.06000 269.52300 262.62800 2.65600 24.12300 3.60000 0.42713 66.31675 27.83260 5.85064
4.00000 67.14900 120.22900 245.49000 189.00700 156.19000 144.39800 140.87300 2.72600 30.28700 2.48000 0.28519 56.69093 39.44536 3.86371
7.00000 63.21500 84.55800 283.84200 287.19600 287.19600 277.87000 276.32700 2.68700 13.19600 2.89000 0.38247 17.80000 43.40000 38.80000
7.00000 63.64700 74.83900 159.28100 159.28100 159.28100 157.60700 157.57300 2.69500 12.92200 2.02000 0.36830 47.32771 40.48791 12.18438
4.00000 77.87700 101.98700 36.99800 57.22800 98.02200 156.50700 194.34300 2.30200 43.56700 3.40000 0.71877 66.82616 30.67887 2.49497
4.00000 75.31600 112.58900 72.48100 100.11400 156.28100 268.19900 325.62600 2.41000 39.70800 2.80000 0.80874 58.03800 35.11434 6.84766
8.00000 64.65000 49.72200 188.80000 188.80000 188.80000 188.80000 188.80000 2.57200 4.94600 1.03700 0.32310 9.00000 89.00000 2.00000
8.00000 66.68700 64.50800 68.44900 68.59000 68.48900 68.47300 68.50200 2.59200 11.08200 1.85600 0.14323 14.00000 81.00000 5.00000
4.00000 61.31400 149.64600 95.26400 95.26400 95.26400 95.26400 95.26400 2.63900 24.40700 1.85600 0.33282 26.00000 69.00000 5.00000
7.00000 55.57200 72.66400 322.73600 322.73600 322.73600 322.73600 322.73600 2.69900 8.87300 3.07100 0.14818 13.00000 49.00000 38.00000
